name,roaster,roaster_city,roaster_country_state,roaster_country,origin,origin_count,origin_country,review_date,est_price,rating,roast,agtron,agtron_grounds,agtron_bean,aroma,acid,body,flavor,aftertaste,with_milk,desc_1,desc_2,desc_3,desc
Thiriku AA Kenya,PT's Coffee Roasting,Topeka,Kansas,United States,Central Kenya,1,Kenya,November 2017,$24.50/12 ounces,95,Medium,47/65,47,65,9.0,9.0,9.0,9.0,9.0,0.0,"Intense; deep, spice-complicated sweetness. Black currant, baker’s chocolate, peppercorn medley, black sage, a hint of lush lily in aroma and cup. Balanced and lively in structure: sweetly tart with a savory edge. Plush, silky mouthfeel. Chocolate moves forward in a resonant, long, lively finish.","Produced by the Thiriku Coffee Growers Cooperative Society from trees of the SL-28, SL-34 and Ruiru varieties of Arabica. Processed by a particularly meticulous Kenya variation on the traditional wet or “washed” method, in which skin and fruit flesh are removed from the beans or seeds before they are dried. AA is the highest grade of Kenya coffee based on bean size and freedom from imperfections. Roasted at PT’s Coffee, where the motto is “without the love, it’s just coffee.” Visit www.ptscoffee.com or call 888-678-5282 for more information.","Mysterious and extraordinary in the Kenya style: simultaneously sweet, savory, tart and entirely and grandly vibrant.","Intense; deep, spice-complicated sweetness. Black currant, baker’s chocolate, peppercorn medley, black sage, a hint of lush lily in aroma and cup. Balanced and lively in structure: sweetly tart with a savory edge. Plush, silky mouthfeel. Chocolate moves forward in a resonant, long, lively finish. Mysterious and extraordinary in the Kenya style: simultaneously sweet, savory, tart and entirely and grandly vibrant."
Ethiopia Natural Yirgacheffe Tore,Kakalove Cafe,Chiayi,Taiwan,Taiwan,"Tore Village, Yirgacheffe growing region, southern Ethiopia",1,Ethiopia,November 2017,NT $550/16 ounces,93,Medium-Light,55/77,55,77,9.0,8.0,9.0,9.0,8.0,0.0,"Deeply crisp, lushly floral. Rose, almond, dark chocolate, lime zest, peppermint in aroma and cup. Tartly sweet with a clear savory edge in structure; plump, juicy mouthfeel. Finish is complex and resonant in the short, consolidating around a fading lime and mint in the long. ","Southern Ethiopia coffees like this one are produced from distinctive traditional Ethiopian varieties of Arabica long grown in the region. Like virtually all southern Ethiopia coffees, this coffee is produced by villagers on small garden plots interplanted with food and other subsistence crops. Processed by the dry or “natural” method, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or ""washed"" coffees. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information","An intense cup, zesty but juicy, alive with rose-like flowers, mint and lime.","Deeply crisp, lushly floral. Rose, almond, dark chocolate, lime zest, peppermint in aroma and cup. Tartly sweet with a clear savory edge in structure; plump, juicy mouthfeel. Finish is complex and resonant in the short, consolidating around a fading lime and mint in the long.  An intense cup, zesty but juicy, alive with rose-like flowers, mint and lime."
Direct Fair Trade Espresso,Level Ground Trading,Victoria, British Columbia,Canada,Africa; South America,2,Africa; South America,November 2017,CAD $17.00/16 ounces,92,Medium-Light,51/73,51,73,9.0,0.0,8.0,8.0,8.0,9.0,"Evaluated as espresso. Intrigungly complex, balanced. Dark chocolate, molasses, cedar, narcissus, date in aroma and small cup. Satiny-smooth body; sweetly cocoa-toned finish. In three parts milk, floral and cocoa tones lead in the short, while hints of rich date resurface in the long.","Coffees in this blend are all fully wet-processed or “washed” and certified organically grown in both Canada and the U.S. Since 1997, Level Ground Trading has been an importer and roaster based in Victoria, Canada, focused on direct trade with small-scale producers in developing countries and on marketing their products throughout North America. Visit www.levelground.com or call 888-565-6633 for more information.",A solid espresso blend equally pleasing as a straight shot and in milk.,"Evaluated as espresso. Intrigungly complex, balanced. Dark chocolate, molasses, cedar, narcissus, date in aroma and small cup. Satiny-smooth body; sweetly cocoa-toned finish. In three parts milk, floral and cocoa tones lead in the short, while hints of rich date resurface in the long. A solid espresso blend equally pleasing as a straight shot and in milk."
Decaf Ethiopia Sidamo,Old Soul Co.,Sacramento,California,United States,"Sidama (also Sidamo) growing region, southern Ethiopia",1,Ethiopia,November 2017,$19.50/12 ounces,90,Medium,48/73,48,73,8.0,8.0,7.0,9.0,8.0,0.0,"Surprising and melodic, delicate yet vivid. Lilac and lemon blossom, fresh sweet grass, honey, moist pipe tobacco, fresh-cut elm in aroma and cup. In structure subtly and sweetly tart. Very light, silky mouthfeel. Unexpectedly rich and flavor-saturated in the finish: pipe tobacco, honey, lemon blossom.","Southern Ethiopia coffees like this one are produced from distinctive traditional Ethiopian varieties of Arabica long grown in the region. This is a dry-processed or “natural” version, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees.  Decaffeinated at the Descamex plant in Mexico by the “Mountain Water Process” which does not involve use of solvents. Old Soul is a roastery, bakery and crafter of artisanal goods dedicated to quality in every form. Visit www.oldsoulco.com or call 916-443-7685 for more information.","This very light-roasted decaffeinated coffee may suggest a fine, complex Chinese black tea in some respects, though it ultimately enforces its coffee identity with its tart structure and light-footed authority. Oddly idiosyncratic in its aromatics, but quite free of the disturbing wood notes characteristic of many decaffeinated coffees.","Surprising and melodic, delicate yet vivid. Lilac and lemon blossom, fresh sweet grass, honey, moist pipe tobacco, fresh-cut elm in aroma and cup. In structure subtly and sweetly tart. Very light, silky mouthfeel. Unexpectedly rich and flavor-saturated in the finish: pipe tobacco, honey, lemon blossom. This very light-roasted decaffeinated coffee may suggest a fine, complex Chinese black tea in some respects, though it ultimately enforces its coffee identity with its tart structure and light-footed authority. Oddly idiosyncratic in its aromatics, but quite free of the disturbing wood notes characteristic of many decaffeinated coffees."
“Flowery” Espresso Blend,A.R.C.,Hong Kong,Hong Kong,Hong Kong,Not disclosed,1,Not disclosed,November 2017,HKD $128/227 grams,90,Medium-Light,55/74,55,74,8.0,0.0,8.0,9.0,7.0,8.0,"Evaluated as espresso. Sweetly and richly tart. Graham cracker, lemon zest, hazelnut, pomegranate, clover flower in aroma and small cup. Satiny mouthfeel; gently drying, resonant finish centered around hazelnut and lemon zest. In three parts milk, the sweet-tartness of the cup carries into the chocolate-toned long finish.","A.R.C., whose motto is “more than specialty,” rigorously controls three vital elements: sourcing of green coffee, roasting, and, in cafe environments, water quality for brewed coffee. For more information, visit http://www.arc.coffee/en/index.html","An accessible, sweetly tart espresso blend, citrusy in the straight shot and chocolate-toned in milk.","Evaluated as espresso. Sweetly and richly tart. Graham cracker, lemon zest, hazelnut, pomegranate, clover flower in aroma and small cup. Satiny mouthfeel; gently drying, resonant finish centered around hazelnut and lemon zest. In three parts milk, the sweet-tartness of the cup carries into the chocolate-toned long finish. An accessible, sweetly tart espresso blend, citrusy in the straight shot and chocolate-toned in milk."
“Chocolate” Espresso Blend,A.R.C.,Hong Kong,Hong Kong,Hong Kong,Not disclosed,1,Not disclosed,November 2017,HKD $140/454 grams,89,Medium,52/66,52,66,8.0,0.0,8.0,8.0,8.0,7.0,"Evaluated as espresso. Richly sweet-tart, wood-framed. Dark chocolate, tangerine zest, fir, hazelnut, a hint of flowers in aroma and small cup. Dense in mouthfeel; bittersweet chocolate dominates in finish. The chocolate reappears in three-parts milk, though its sweetness is limited by a bitterish, wood-toned edge. ","A.R.C., whose motto is “more than specialty,” rigorously controls three vital elements: sourcing of green coffee, roasting, and, in cafe environments, water quality for brewed coffee. For more information, visit http://www.arc.coffee/en/index.html.",Chocolaty but rather austere and bittersweet blend.,"Evaluated as espresso. Richly sweet-tart, wood-framed. Dark chocolate, tangerine zest, fir, hazelnut, a hint of flowers in aroma and small cup. Dense in mouthfeel; bittersweet chocolate dominates in finish. The chocolate reappears in three-parts milk, though its sweetness is limited by a bitterish, wood-toned edge.  Chocolaty but rather austere and bittersweet blend."
“Nutty” Espresso Blend,A.R.C.,Hong Kong,Hong Kong,Hong Kong,Not disclosed,1,Not disclosed,November 2017,HKD $130/454 grams,88,Medium-Light,54/68,54,68,7.0,0.0,8.0,8.0,7.0,8.0,"Evaluated as espresso. Fir, almond, baker’s chocolate, white peppercorn, molasses in aroma and small cup. Satiny though slightly lean mouthfeel. Almond and chocolate dominate in a drying finish. Three parts milk sweetens the nut and chocolate, though the finish remains dry.  ","A.R.C., whose motto is “more than specialty,” rigorously controls three vital elements: sourcing of green coffee, roasting, and, in cafe environments, water quality for brewed coffee. For more information, visit http://www.arc.coffee/en/index.html.","Nut and chocolate dominate in this crisp, briskly dry espresso blend.","Evaluated as espresso. Fir, almond, baker’s chocolate, white peppercorn, molasses in aroma and small cup. Satiny though slightly lean mouthfeel. Almond and chocolate dominate in a drying finish. Three parts milk sweetens the nut and chocolate, though the finish remains dry.   Nut and chocolate dominate in this crisp, briskly dry espresso blend."
Ethiopia Yirgacheffe Washed G1,A.R.C.,Hong Kong,Hong Kong,Hong Kong,"Yirgacheffe growing region, southern Ethiopia",1,Ethiopia,November 2017,HKD $120/227 grams,92,Medium-Light,55/76,55,76,8.0,8.0,9.0,9.0,8.0,0.0,"Delicate, gently tart, spice-toned. Pomegranate, cocoa powder, lemon blossom, white peppercorn, hazelnut in aroma and cup. Lively, quietly complex structure; crisp, buoyant mouthfeel. The finish leads with gently drying notes of hazelnut and white peppercorn in the short and segues to cocoa-toned citrus blossoms in the long. ","Produced in Yirgacheffe, a coffee region in southern Ethiopia that produces particularly distinctive coffees from traditional varieties of Arabica long grown in the region. Yirgacheffe coffees like this one processed by the wet or washed method (fruit skin and pulp are removed before drying) typically express great aromatic complexity and intensity. Like virtually all Yirgacheffe coffees, this coffee is produced by villagers on small garden plots interplanted with food and other subsistence crops. A.R.C., whose motto is “more than specialty,” rigorously controls three vital elements: sourcing of green coffee, roasting, and, in cafe environments, water quality for brewed coffee. For more information, visit http://www.arc.coffee/en/index.html.",A cup with a fine-tea-like appeal in its subtle complexity and spice-toned presentation.,"Delicate, gently tart, spice-toned. Pomegranate, cocoa powder, lemon blossom, white peppercorn, hazelnut in aroma and cup. Lively, quietly complex structure; crisp, buoyant mouthfeel. The finish leads with gently drying notes of hazelnut and white peppercorn in the short and segues to cocoa-toned citrus blossoms in the long.  A cup with a fine-tea-like appeal in its subtle complexity and spice-toned presentation."
“Blue Mountain Flavor” Blend,A.R.C.,Hong Kong,Hong Kong,Hong Kong,Not disclosed,1,Not disclosed,November 2017,HKD $128/454 grams,92,Medium-Light,50/74,50,74,9.0,8.0,8.0,9.0,8.0,0.0,"Subtle, layered, sweetly tart. Blackcurrant, narcissus-like flowers, oregano, baker’s chocolate, molasses in aroma and cup. Sweet-tart in structure, with savory undertones; velvety-smooth mouthfeel. Baker’s chocolate is the throughline of the gently drying finish, with sweet floral notes in the short and blackcurrant and oregano in the long.","A.R.C., whose motto is “more than specialty,” rigorously controls three vital elements: sourcing of green coffee, roasting, and, in cafe environments, water quality for brewed coffee. For more information, visit http://www.arc.coffee/en/index.html.","A balanced, high-toned cup with attractive chocolate notes complicated by hints of sweet herbs throughout.","Subtle, layered, sweetly tart. Blackcurrant, narcissus-like flowers, oregano, baker’s chocolate, molasses in aroma and cup. Sweet-tart in structure, with savory undertones; velvety-smooth mouthfeel. Baker’s chocolate is the throughline of the gently drying finish, with sweet floral notes in the short and blackcurrant and oregano in the long. A balanced, high-toned cup with attractive chocolate notes complicated by hints of sweet herbs throughout."
House Blend Espresso,A.R.C.,Hong Kong,Hong Kong,Hong Kong,Not disclosed,1,Not disclosed,November 2017,HKD $128/227 grams,91,Medium-Light,56/78,56,78,8.0,0.0,9.0,8.0,7.0,9.0,"Evaluated as espresso. Crisply sweet, spice-toned. Caramel apple, dark chocolate, pecan, cedar, a hint of paprika in aroma and small cup. Velvety mouthfeel; bittersweet finish with notes of dark chocolate and caramel apple in the short and paprika and pecan in the long. Cappuccino-scaled milk balances out the chocolate, fruit, nut and spice tones in pleasingly bittersweet resonance. ","A.R.C., whose motto is “more than specialty,” rigorously controls three vital elements: sourcing of green coffee, roasting, and, in cafe environments, water quality for brewed coffee. For more information, visit http://www.arc.coffee/en/index.html.","An espresso blend especially inviting in milk, where nut-toned chocolate and crisp fruit, with a hint of spice, converge.","Evaluated as espresso. Crisply sweet, spice-toned. Caramel apple, dark chocolate, pecan, cedar, a hint of paprika in aroma and small cup. Velvety mouthfeel; bittersweet finish with notes of dark chocolate and caramel apple in the short and paprika and pecan in the long. Cappuccino-scaled milk balances out the chocolate, fruit, nut and spice tones in pleasingly bittersweet resonance.  An espresso blend especially inviting in milk, where nut-toned chocolate and crisp fruit, with a hint of spice, converge."
